"TIME","GEO","UNIT","SEX","INDIC_HE","Value","Flag and Footnotes"
"2004","Germany (until 1990 former territory of the FRG)","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Germany (until 1990 former territory of the FRG)","Year","Males","Life expectancy in absolute value at birth","76.5",""
"2004","Germany (until 1990 former territory of the FRG)","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Germany (until 1990 former territory of the FRG)","Year","Females","Life expectancy in absolute value at birth","81.9",""
"2004","Estonia","Year","Males","Healthy life years in absolute value at birth","50.2",""
"2004","Estonia","Year","Males","Life expectancy in absolute value at birth","66.7",""
"2004","Estonia","Year","Females","Healthy life years in absolute value at birth","53.8",""
"2004","Estonia","Year","Females","Life expectancy in absolute value at birth","78.0",""
"2004","Ireland","Year","Males","Healthy life years in absolute value at birth","62.3",""
"2004","Ireland","Year","Males","Life expectancy in absolute value at birth","76.1",""
"2004","Ireland","Year","Females","Healthy life years in absolute value at birth","64.1",""
"2004","Ireland","Year","Females","Life expectancy in absolute value at birth","81.1",""
"2004","Greece","Year","Males","Healthy life years in absolute value at birth","63.9",""
"2004","Greece","Year","Males","Life expectancy in absolute value at birth","76.6",""
"2004","Greece","Year","Females","Healthy life years in absolute value at birth","65.7",""
"2004","Greece","Year","Females","Life expectancy in absolute value at birth","82.2",""
"2004","Spain","Year","Males","Healthy life years in absolute value at birth","62.6",""
"2004","Spain","Year","Males","Life expectancy in absolute value at birth","77.0",""
"2004","Spain","Year","Females","Healthy life years in absolute value at birth","62.6",""
"2004","Spain","Year","Females","Life expectancy in absolute value at birth","83.7",""
"2004","France","Year","Males","Healthy life years in absolute value at birth","61.5",""
"2004","France","Year","Males","Life expectancy in absolute value at birth","76.7",""
"2004","France","Year","Females","Healthy life years in absolute value at birth","64.3",""
"2004","France","Year","Females","Life expectancy in absolute value at birth","83.8",""
"2004","Croatia","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Croatia","Year","Males","Life expectancy in absolute value at birth","71.8",""
"2004","Croatia","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Croatia","Year","Females","Life expectancy in absolute value at birth","78.8",""
"2004","Italy","Year","Males","Healthy life years in absolute value at birth","68.8",""
"2004","Italy","Year","Males","Life expectancy in absolute value at birth","78.0",""
"2004","Italy","Year","Females","Healthy life years in absolute value at birth","71.0",""
"2004","Italy","Year","Females","Life expectancy in absolute value at birth","83.7",""
"2004","Cyprus","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Cyprus","Year","Males","Life expectancy in absolute value at birth","76.5",""
"2004","Cyprus","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Cyprus","Year","Females","Life expectancy in absolute value at birth","81.8",""
"2004","Latvia","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Latvia","Year","Males","Life expectancy in absolute value at birth","65.6",""
"2004","Latvia","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Latvia","Year","Females","Life expectancy in absolute value at birth","76.0",""
"2004","Lithuania","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Lithuania","Year","Males","Life expectancy in absolute value at birth","66.2",""
"2004","Lithuania","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Lithuania","Year","Females","Life expectancy in absolute value at birth","77.7",""
"2004","Luxembourg","Year","Males","Healthy life years in absolute value at birth","59.5",""
"2004","Luxembourg","Year","Males","Life expectancy in absolute value at birth","76.0",""
"2004","Luxembourg","Year","Females","Healthy life years in absolute value at birth","60.2",""
"2004","Luxembourg","Year","Females","Life expectancy in absolute value at birth","82.4",""
"2004","Hungary","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Hungary","Year","Males","Life expectancy in absolute value at birth","68.7",""
"2004","Hungary","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Hungary","Year","Females","Life expectancy in absolute value at birth","77.2",""
"2004","Malta","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Malta","Year","Males","Life expectancy in absolute value at birth","77.4",""
"2004","Malta","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Malta","Year","Females","Life expectancy in absolute value at birth","81.2",""
"2004","Netherlands","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Netherlands","Year","Males","Life expectancy in absolute value at birth","76.9",""
"2004","Netherlands","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Netherlands","Year","Females","Life expectancy in absolute value at birth","81.5",""
"2004","Austria","Year","Males","Healthy life years in absolute value at birth","58.3",""
"2004","Austria","Year","Males","Life expectancy in absolute value at birth","76.4",""
"2004","Austria","Year","Females","Healthy life years in absolute value at birth","60.4",""
"2004","Austria","Year","Females","Life expectancy in absolute value at birth","82.1",""
"2004","Poland","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Poland","Year","Males","Life expectancy in absolute value at birth","70.6",""
"2004","Poland","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Poland","Year","Females","Life expectancy in absolute value at birth","79.2",""
"2004","Portugal","Year","Males","Healthy life years in absolute value at birth","55.3",""
"2004","Portugal","Year","Males","Life expectancy in absolute value at birth","75.0",""
"2004","Portugal","Year","Females","Healthy life years in absolute value at birth","52.4",""
"2004","Portugal","Year","Females","Life expectancy in absolute value at birth","81.8",""
"2004","Romania","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Romania","Year","Males","Life expectancy in absolute value at birth","67.8",""
"2004","Romania","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Romania","Year","Females","Life expectancy in absolute value at birth","75.1",""
"2004","Slovenia","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Slovenia","Year","Males","Life expectancy in absolute value at birth","73.5",""
"2004","Slovenia","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Slovenia","Year","Females","Life expectancy in absolute value at birth","80.8",""
"2004","Slovakia","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Slovakia","Year","Males","Life expectancy in absolute value at birth","70.3",""
"2004","Slovakia","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Slovakia","Year","Females","Life expectancy in absolute value at birth","78.0",""
"2004","Finland","Year","Males","Healthy life years in absolute value at birth","53.3",""
"2004","Finland","Year","Males","Life expectancy in absolute value at birth","75.4",""
"2004","Finland","Year","Females","Healthy life years in absolute value at birth","53.1",""
"2004","Finland","Year","Females","Life expectancy in absolute value at birth","82.5",""
"2004","Sweden","Year","Males","Healthy life years in absolute value at birth","62.0",""
"2004","Sweden","Year","Males","Life expectancy in absolute value at birth","78.4",""
"2004","Sweden","Year","Females","Healthy life years in absolute value at birth","60.8",""
"2004","Sweden","Year","Females","Life expectancy in absolute value at birth","82.8",""
"2004","Iceland","Year","Males","Healthy life years in absolute value at birth","65.9",""
"2004","Iceland","Year","Males","Life expectancy in absolute value at birth","78.9",""
"2004","Iceland","Year","Females","Healthy life years in absolute value at birth","62.5",""
"2004","Iceland","Year","Females","Life expectancy in absolute value at birth","83.2",""
"2004","Norway","Year","Males","Healthy life years in absolute value at birth","65.9",""
"2004","Norway","Year","Males","Life expectancy in absolute value at birth","77.6",""
"2004","Norway","Year","Females","Healthy life years in absolute value at birth","65.3",""
"2004","Norway","Year","Females","Life expectancy in absolute value at birth","82.5",""
"2004","Switzerland","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Switzerland","Year","Males","Life expectancy in absolute value at birth","78.6",""
"2004","Switzerland","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Switzerland","Year","Females","Life expectancy in absolute value at birth","83.8",""
"2004","United Kingdom","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","United Kingdom","Year","Males","Life expectancy in absolute value at birth","76.8",""
"2004","United Kingdom","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","United Kingdom","Year","Females","Life expectancy in absolute value at birth","81.1",""
"2005","European Union - 27 countries (from 2020)","Year","Males","Healthy life years in absolute value at birth","60.2","e"
"2005","European Union - 27 countries (from 2020)","Year","Males","Life expectancy in absolute value at birth","75.1",""
"2005","European Union - 27 countries (from 2020)","Year","Females","Healthy life years in absolute value at birth","61.6","e"
"2005","European Union - 27 countries (from 2020)","Year","Females","Life expectancy in absolute value at birth","81.5",""
"2005","European Union - 28 countries (2013-2020)","Year","Males","Healthy life years in absolute value at birth","60.7","e"
"2005","European Union - 28 countries (2013-2020)","Year","Males","Life expectancy in absolute value at birth","75.4",""
"2005","European Union - 28 countries (2013-2020)","Year","Females","Healthy life years in absolute value at birth","62.1","e"
"2005","European Union - 28 countries (2013-2020)","Year","Females","Life expectancy in absolute value at birth","81.5",""
"2005","Belgium","Year","Males","Healthy life years in absolute value at birth","62.4","b"
"2005","Belgium","Year","Males","Life expectancy in absolute value at birth","76.2",""
"2005","Belgium","Year","Females","Healthy life years in absolute value at birth","62.3","b"
"2005","Belgium","Year","Females","Life expectancy in absolute value at birth","81.9",""
"2005","Bulgaria","Year","Males","Healthy life years in absolute value at birth",":",""
"2005","Bulgaria","Year","Males","Life expectancy in absolute value at birth","69.0",""
"2005","Bulgaria","Year","Females","Healthy life years in absolute value at birth",":",""
"2005","Bulgaria","Year","Females","Life expectancy in absolute value at birth","76.2",""
"2005","Czechia","Year","Males","Healthy life years in absolute value at birth","58.0",""
"2005","Czechia","Year","Males","Life expectancy in absolute value at birth","72.9",""
"2005","Czechia","Year","Females","Healthy life years in absolute value at birth","60.0",""
"2005","Czechia","Year","Females","Life expectancy in absolute value at birth","79.2",""
"2005","Denmark","Year","Males","Healthy life years in absolute value at birth","68.4",""
"2005","Denmark","Year","Males","Life expectancy in absolute value at birth","76.0",""
"2005","Denmark","Year","Females","Healthy life years in absolute value at birth","68.4",""
"2005","Denmark","Year","Females","Life expectancy in absolute value at birth","80.5",""
"2005","Germany (until 1990 former territory of the FRG)","Year","Males","Healthy life years in absolute value at birth","54.5",""
"2005","Germany (until 1990 former territory of the FRG)","Year","Males","Life expectancy in absolute value at birth","76.7",""
"2005","Germany (until 1990 former territory of the FRG)","Year","Females","Healthy life years in absolute value at birth","54.8",""
"2005","Germany (until 1990 former territory of the FRG)","Year","Females","Life expectancy in absolute value at birth","82.0",""
"2005","Estonia","Year","Males","Healthy life years in absolute value at birth","48.4",""
"2005","Estonia","Year","Males","Life expectancy in absolute value at birth","67.6",""
"2005","Estonia","Year","Females","Healthy life years in absolute value at birth","52.5",""
"2005","Estonia","Year","Females","Life expectancy in absolute value at birth","78.2",""
"2005","Ireland","Year","Males","Healthy life years in absolute value at birth","62.6",""
"2005","Ireland","Year","Males","Life expectancy in absolute value at birth","76.7",""
"2005","Ireland","Year","Females","Healthy life years in absolute value at birth","63.9",""
"2005","Ireland","Year","Females","Life expectancy in absolute value at birth","81.3",""
"2005","Greece","Year","Males","Healthy life years in absolute value at birth","65.8",""
"2005","Greece","Year","Males","Life expectancy in absolute value at birth","76.8",""
"2005","Greece","Year","Females","Healthy life years in absolute value at birth","67.7",""
"2005","Greece","Year","Females","Life expectancy in absolute value at birth","82.5",""
"2005","Spain","Year","Males","Healthy life years in absolute value at birth","63.2",""
"2005","Spain","Year","Males","Life expectancy in absolute value at birth","77.0",""
"2005","Spain","Year","Females","Healthy life years in absolute value at birth","63.5",""
"2005","Spain","Year","Females","Life expectancy in absolute value at birth","83.6",""
"2005","France","Year","Males","Healthy life years in absolute value at birth","62.3",""
"2005","France","Year","Males","Life expectancy in absolute value at birth","76.7",""
"2005","France","Year","Females","Healthy life years in absolute value at birth","64.6",""
"2005","France","Year","Females","Life expectancy in absolute value at birth","83.8",""
"2005","Croatia","Year","Males","Healthy life years in absolute value at birth",":",""
"2005","Croatia","Year","Males","Life expectancy in absolute value at birth","71.7",""
"2005","Croatia","Year","Females","Healthy life years in absolute value at birth",":",""
"2005","Croatia","Year","Females","Life expectancy in absolute value at birth","78.8",""
"2005","Italy","Year","Males","Healthy life years in absolute value at birth","66.7",""
"2005","Italy","Year","Males","Life expectancy in absolute value at birth","78.1",""
"2005","Italy","Year","Females","Healthy life years in absolute value at birth","67.8",""
"2005","Italy","Year","Females","Life expectancy in absolute value at birth","83.6",""
"2005","Cyprus","Year","Males","Healthy life years in absolute value at birth","59.7",""
"2005","Cyprus","Year","Males","Life expectancy in absolute value at birth","76.5",""
"2005","Cyprus","Year","Females","Healthy life years in absolute value at birth","58.2",""
"2005","Cyprus","Year","Females","Life expectancy in absolute value at birth","80.8",""
"2005","Latvia","Year","Males","Healthy life years in absolute value at birth","50.5",""
"2005","Latvia","Year","Males","Life expectancy in absolute value at birth","64.9",""
"2005","Latvia","Year","Females","Healthy life years in absolute value at birth","53.3",""
"2005","Latvia","Year","Females","Life expectancy in absolute value at birth","76.3",""
"2005","Lithuania","Year","Males","Healthy life years in absolute value at birth","51.3",""
"2005","Lithuania","Year","Males","Life expectancy in absolute value at birth","65.2",""
"2005","Lithuania","Year","Females","Healthy life years in absolute value at birth","54.6",""
"2005","Lithuania","Year","Females","Life expectancy in absolute value at birth","77.4",""
"2005","Luxembourg","Year","Males","Healthy life years in absolute value at birth","62.3",""
"2005","Luxembourg","Year","Males","Life expectancy in absolute value at birth","76.7",""
"2005","Luxembourg","Year","Females","Healthy life years in absolute value at birth","62.4",""
"2005","Luxembourg","Year","Females","Life expectancy in absolute value at birth","82.3",""
"2005","Hungary","Year","Males","Healthy life years in absolute value at birth","52.2",""
"2005","Hungary","Year","Males","Life expectancy in absolute value at birth","68.7",""
"2005","Hungary","Year","Females","Healthy life years in absolute value at birth","54.3",""
"2005","Hungary","Year","Females","Life expectancy in absolute value at birth","77.2",""
"2005","Malta","Year","Males","Healthy life years in absolute value at birth","68.7",""
"2005","Malta","Year","Males","Life expectancy in absolute value at birth","77.3",""
"2005","Malta","Year","Females","Healthy life years in absolute value at birth","70.4",""
"2005","Malta","Year","Females","Life expectancy in absolute value at birth","81.4",""
"2005","Netherlands","Year","Males","Healthy life years in absolute value at birth","65.4",""
"2005","Netherlands","Year","Males","Life expectancy in absolute value at birth","77.2",""
"2005","Netherlands","Year","Females","Healthy life years in absolute value at birth","63.5",""
"2005","Netherlands","Year","Females","Life expectancy in absolute value at birth","81.7",""
"2005","Austria","Year","Males","Healthy life years in absolute value at birth","57.8",""
"2005","Austria","Year","Males","Life expectancy in absolute value at birth","76.6",""
"2005","Austria","Year","Females","Healthy life years in absolute value at birth","59.8",""
"2005","Austria","Year","Females","Life expectancy in absolute value at birth","82.2",""
"2005","Poland","Year","Males","Healthy life years in absolute value at birth","61.2",""
"2005","Poland","Year","Males","Life expectancy in absolute value at birth","70.8",""
"2005","Poland","Year","Females","Healthy life years in absolute value at birth","66.9",""
"2005","Poland","Year","Females","Life expectancy in absolute value at birth","79.3",""
"2005","Portugal","Year","Males","Healthy life years in absolute value at birth","58.6","b"
"2005","Portugal","Year","Males","Life expectancy in absolute value at birth","74.9",""
"2005","Portugal","Year","Females","Healthy life years in absolute value at birth","57.1","b"
"2005","Portugal","Year","Females","Life expectancy in absolute value at birth","81.5",""
"2005","Romania","Year","Males","Healthy life years in absolute value at birth",":",""
"2005","Romania","Year","Males","Life expectancy in absolute value at birth","68.4",""
"2005","Romania","Year","Females","Healthy life years in absolute value at birth",":",""
"2005","Romania","Year","Females","Life expectancy in absolute value at birth","75.4",""
"2005","Slovenia","Year","Males","Healthy life years in absolute value at birth","56.4",""
"2005","Slovenia","Year","Males","Life expectancy in absolute value at birth","73.9",""
"2005","Slovenia","Year","Females","Healthy life years in absolute value at birth","60.1",""
"2005","Slovenia","Year","Females","Life expectancy in absolute value at birth","80.9",""
"2005","Slovakia","Year","Males","Healthy life years in absolute value at birth","55.2",""
"2005","Slovakia","Year","Males","Life expectancy in absolute value at birth","70.2",""
"2005","Slovakia","Year","Females","Healthy life years in absolute value at birth","56.6",""
"2005","Slovakia","Year","Females","Life expectancy in absolute value at birth","78.1",""
"2005","Finland","Year","Males","Healthy life years in absolute value at birth","51.7",""
"2005","Finland","Year","Males","Life expectancy in absolute value at birth","75.6",""
"2005","Finland","Year","Females","Healthy life years in absolute value at birth","52.5",""
"2005","Finland","Year","Females","Life expectancy in absolute value at birth","82.5",""
"2005","Sweden","Year","Males","Healthy life years in absolute value at birth","64.5",""
"2005","Sweden","Year","Males","Life expectancy in absolute value at birth","78.5",""
"2005","Sweden","Year","Females","Healthy life years in absolute value at birth","63.2",""
"2005","Sweden","Year","Females","Life expectancy in absolute value at birth","82.9",""
"2005","Iceland","Year","Males","Healthy life years in absolute value at birth","67.0",""
"2005","Iceland","Year","Males","Life expectancy in absolute value at birth","79.6",""
"2005","Iceland","Year","Females","Healthy life years in absolute value at birth","65.0",""
"2005","Iceland","Year","Females","Life expectancy in absolute value at birth","83.5",""
"2005","Norway","Year","Males","Healthy life years in absolute value at birth","66.1",""
"2005","Norway","Year","Males","Life expectancy in absolute value at birth","77.8",""
"2005","Norway","Year","Females","Healthy life years in absolute value at birth","64.2",""
"2005","Norway","Year","Females","Life expectancy in absolute value at birth","82.7",""
"2005","Switzerland","Year","Males","Healthy life years in absolute value at birth",":",""
"2005","Switzerland","Year","Males","Life expectancy in absolute value at birth","78.7",""
"2005","Switzerland","Year","Females","Healthy life years in absolute value at birth",":",""
"2005","Switzerland","Year","Females","Life expectancy in absolute value at birth","84.0",""
"2005","United Kingdom","Year","Males","Healthy life years in absolute value at birth","64.1",""
"2005","United Kingdom","Year","Males","Life expectancy in absolute value at birth","77.0",""
"2005","United Kingdom","Year","Females","Healthy life years in absolute value at birth","65.5",""
"2005","United Kingdom","Year","Females","Life expectancy in absolute value at birth","81.3",""
"2006","European Union - 27 countries (from 2020)","Year","Males","Healthy life years in absolute value at birth","61.2","e"
"2006","European Union - 27 countries (from 2020)","Year","Males","Life expectancy in absolute value at birth","75.6",""
"2006","European Union - 27 countries (from 2020)","Year","Females","Healthy life years in absolute value at birth","62.1","e"
"2006","European Union - 27 countries (from 2020)","Year","Females","Life expectancy in absolute value at birth","82.0",""
"2006","European Union - 28 countries (2013-2020)","Year","Males","Healthy life years in absolute value at birth","61.7","e"
"2006","European Union - 28 countries (2013-2020)","Year","Males","Life expectancy in absolute value at birth","75.8",""
"2006","European Union - 28 countries (2013-2020)","Year","Females","Healthy life years in absolute value at birth","62.4","e"
"2006","European Union - 28 countries (2013-2020)","Year","Females","Life expectancy in absolute value at birth","82.0",""
"2006","Belgium","Year","Males","Healthy life years in absolute value at birth","63.0",""
"2006","Belgium","Year","Males","Life expectancy in absolute value at birth","76.6",""
"2006","Belgium","Year","Females","Healthy life years in absolute value at birth","63.2",""
"2006","Belgium","Year","Females","Life expectancy in absolute value at birth","82.3",""
"2006","Bulgaria","Year","Males","Healthy life years in absolute value at birth","66.2",""
"2006","Bulgaria","Year","Males","Life expectancy in absolute value at birth","69.2",""
"2006","Bulgaria","Year","Females","Healthy life years in absolute value at birth","71.9",""
"2006","Bulgaria","Year","Females","Life expectancy in absolute value at birth","76.3",""
"2006","Czechia","Year","Males","Healthy life years in absolute value at birth","57.9",""
"2006","Czechia","Year","Males","Life expectancy in absolute value at birth","73.5",""
"2006","Czechia","Year","Females","Healthy life years in absolute value at birth","59.9",""
"2006","Czechia","Year","Females","Life expectancy in absolute value at birth","79.9",""
"2006","Denmark","Year","Males","Healthy life years in absolute value at birth","67.7",""
"2006","Denmark","Year","Males","Life expectancy in absolute value at birth","76.1",""
"2006","Denmark","Year","Females","Healthy life years in absolute value at birth","67.2",""
"2006","Denmark","Year","Females","Life expectancy in absolute value at birth","80.7",""
"2006","Germany (until 1990 former territory of the FRG)","Year","Males","Healthy life years in absolute value at birth","58.7","b"
"2006","Germany (until 1990 former territory of the FRG)","Year","Males","Life expectancy in absolute value at birth","77.2",""
"2006","Germany (until 1990 former territory of the FRG)","Year","Females","Healthy life years in absolute value at birth","58.3","b"
"2006","Germany (until 1990 former territory of the FRG)","Year","Females","Life expectancy in absolute value at birth","82.4",""
"2006","Estonia","Year","Males","Healthy life years in absolute value at birth","49.7",""
"2006","Estonia","Year","Males","Life expectancy in absolute value at birth","67.6",""
"2006","Estonia","Year","Females","Healthy life years in absolute value at birth","53.9",""
"2006","Estonia","Year","Females","Life expectancy in absolute value at birth","78.6",""
"2006","Ireland","Year","Males","Healthy life years in absolute value at birth","62.9",""
"2006","Ireland","Year","Males","Life expectancy in absolute value at birth","76.9",""
"2006","Ireland","Year","Females","Healthy life years in absolute value at birth","64.7",""
"2006","Ireland","Year","Females","Life expectancy in absolute value at birth","81.7",""
"2006","Greece","Year","Males","Healthy life years in absolute value at birth","66.4",""
"2006","Greece","Year","Males","Life expectancy in absolute value at birth","77.1",""
"2006","Greece","Year","Females","Healthy life years in absolute value at birth","68.4",""
"2006","Greece","Year","Females","Life expectancy in absolute value at birth","82.7",""
"2006","Spain","Year","Males","Healthy life years in absolute value at birth","64.0",""
"2006","Spain","Year","Males","Life expectancy in absolute value at birth","77.8",""
"2006","Spain","Year","Females","Healthy life years in absolute value at birth","63.6",""
"2006","Spain","Year","Females","Life expectancy in absolute value at birth","84.4",""
"2006","France","Year","Males","Healthy life years in absolute value at birth","62.8",""
"2006","France","Year","Males","Life expectancy in absolute value at birth","77.3",""
"2006","France","Year","Females","Healthy life years in absolute value at birth","64.4",""
"2006","France","Year","Females","Life expectancy in absolute value at birth","84.5",""
"2006","Croatia","Year","Males","Healthy life years in absolute value at birth",":",""
"2006","Croatia","Year","Males","Life expectancy in absolute value at birth","72.4",""
"2006","Croatia","Year","Females","Healthy life years in absolute value at birth",":",""
"2006","Croatia","Year","Females","Life expectancy in absolute value at birth","79.3",""
"2006","Italy","Year","Males","Healthy life years in absolute value at birth","65.2",""
"2006","Italy","Year","Males","Life expectancy in absolute value at birth","78.6",""
"2006","Italy","Year","Females","Healthy life years in absolute value at birth","64.7",""
"2006","Italy","Year","Females","Life expectancy in absolute value at birth","84.1",""
"2006","Cyprus","Year","Males","Healthy life years in absolute value at birth","64.1","b"
"2006","Cyprus","Year","Males","Life expectancy in absolute value at birth","78.1",""
"2006","Cyprus","Year","Females","Healthy life years in absolute value at birth","63.3","b"
"2006","Cyprus","Year","Females","Life expectancy in absolute value at birth","82.0",""
"2006","Latvia","Year","Males","Healthy life years in absolute value at birth","50.8",""
"2006","Latvia","Year","Males","Life expectancy in absolute value at birth","65.0",""
"2006","Latvia","Year","Females","Healthy life years in absolute value at birth","52.5",""
"2006","Latvia","Year","Females","Life expectancy in absolute value at birth","76.1",""
"2006","Lithuania","Year","Males","Healthy life years in absolute value at birth","52.4",""
"2006","Lithuania","Year","Males","Life expectancy in absolute value at birth","65.0",""
"2006","Lithuania","Year","Females","Healthy life years in absolute value at birth","56.4",""
"2006","Lithuania","Year","Females","Life expectancy in absolute value at birth","77.1",""
"2006","Luxembourg","Year","Males","Healthy life years in absolute value at birth","61.2",""
"2006","Luxembourg","Year","Males","Life expectancy in absolute value at birth","76.8",""
"2006","Luxembourg","Year","Females","Healthy life years in absolute value at birth","62.1",""
"2006","Luxembourg","Year","Females","Life expectancy in absolute value at birth","81.9",""
"2006","Hungary","Year","Males","Healthy life years in absolute value at birth","54.4",""
"2006","Hungary","Year","Males","Life expectancy in absolute value at birth","69.2",""
"2006","Hungary","Year","Females","Healthy life years in absolute value at birth","57.2",""
"2006","Hungary","Year","Females","Life expectancy in absolute value at birth","77.8",""
"2006","Malta","Year","Males","Healthy life years in absolute value at birth","68.5",""
"2006","Malta","Year","Males","Life expectancy in absolute value at birth","77.0",""
"2006","Malta","Year","Females","Healthy life years in absolute value at birth","69.5",""
"2006","Malta","Year","Females","Life expectancy in absolute value at birth","82.0",""
"2006","Netherlands","Year","Males","Healthy life years in absolute value at birth","65.2",""
"2006","Netherlands","Year","Males","Life expectancy in absolute value at birth","77.7",""
"2006","Netherlands","Year","Females","Healthy life years in absolute value at birth","63.5",""
"2006","Netherlands","Year","Females","Life expectancy in absolute value at birth","82.0",""
"2006","Austria","Year","Males","Healthy life years in absolute value at birth","58.7",""
"2006","Austria","Year","Males","Life expectancy in absolute value at birth","77.1",""
"2006","Austria","Year","Females","Healthy life years in absolute value at birth","61.0",""
"2006","Austria","Year","Females","Life expectancy in absolute value at birth","82.8",""
"2006","Poland","Year","Males","Healthy life years in absolute value at birth","58.4","b"
"2006","Poland","Year","Males","Life expectancy in absolute value at birth","70.9",""
"2006","Poland","Year","Females","Healthy life years in absolute value at birth","62.9","b"
"2006","Poland","Year","Females","Life expectancy in absolute value at birth","79.7",""
"2006","Portugal","Year","Males","Healthy life years in absolute value at birth","60.0",""
"2006","Portugal","Year","Males","Life expectancy in absolute value at birth","75.5",""
"2006","Portugal","Year","Females","Healthy life years in absolute value at birth","58.0",""
"2006","Portugal","Year","Females","Life expectancy in absolute value at birth","82.5",""
"2006","Romania","Year","Males","Healthy life years in absolute value at birth",":",""
"2006","Romania","Year","Males","Life expectancy in absolute value at birth","69.0",""
"2006","Romania","Year","Females","Healthy life years in absolute value at birth",":",""
"2006","Romania","Year","Females","Life expectancy in absolute value at birth","76.1",""
"2006","Slovenia","Year","Males","Healthy life years in absolute value at birth","57.7",""
"2006","Slovenia","Year","Males","Life expectancy in absolute value at birth","74.5",""
"2006","Slovenia","Year","Females","Healthy life years in absolute value at birth","61.0",""
"2006","Slovenia","Year","Females","Life expectancy in absolute value at birth","82.0",""
"2006","Slovakia","Year","Males","Healthy life years in absolute value at birth","54.5",""
"2006","Slovakia","Year","Males","Life expectancy in absolute value at birth","70.4",""
"2006","Slovakia","Year","Females","Healthy life years in absolute value at birth","54.6",""
"2006","Slovakia","Year","Females","Life expectancy in absolute value at birth","78.4",""
"2006","Finland","Year","Males","Healthy life years in absolute value at birth","53.2",""
"2006","Finland","Year","Males","Life expectancy in absolute value at birth","75.9",""
"2006","Finland","Year","Females","Healthy life years in absolute value at birth","52.8",""
"2006","Finland","Year","Females","Life expectancy in absolute value at birth","83.1",""
